SWID	OfficialNames	Isomeric Smiles	PubChem IDs	KEGG IDs	ChemSpider, IDs	DrugBank IDs	ChEBI IDs	Synonyms
SW02273	Traditional Herbal Isolate=nandazurine	C[n+]1ccc2cc(c(c-3c2c1C(=O)c4c3cc5c(c4)OCO5)O)OC	3084902		2341896			nandazurine<>2,49679-20-1<>1,7h-benzo(de)(1,3)benzodioxolo(5,6-g)quinolinium, 1-hydroxy-2-methoxy-6-methyl-7-oxo-<>1,49679-20-1[rn]<>1,7h-benzo(de)(1<>1,ac1mj3gy<>1
SW02274	China Approved Name=mitomycin,Indian Approved Name=mitomycin,Australia Approved Name=MITOMYCIN C,FDA Approved Drug=MITOMYCIN	CC1=C(C(=O)C2=C(C1=O)[NH+]3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)[NH3+]	5746	D00208	5544	DB00305	CHEBI:27504	mitomycin<>16,ametycin<>12,muamycin<>12,mytozytrex<>12,ametycine<>12,mitomycin c<>12,mitocin-c<>12,mytomycin<>12,mitomycin-c<>12,mitomycinum<>12,mutamycin<>12,mitomycin (tn)<>8,mitamycin<>8,mito-c<>8,mitomycinum c<>8,mit-c<>8,mitozytrex<>8,mitomycyna c [polish]<>8,mitomycin c[jp15]<>4,[(1as,8s,8ar,8bs)-6-amino-8a-methoxy-5-methyl-4,7-dioxo-1,1a,2,4,7,8,8a,8b-octahydroazireno[2',3':3,4]pyrrolo[1,2-a]indol-8-yl]methyl carbamate[acd/iupac name]<>4,mmc complex<>4,azirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione, 6-amino-8-[[(aminocarbonyl)oxy]methyl]-1,1a,2,8,8a,8b-hexahydro-8a-methoxy-5-methyl-,(1as,8s,8ar,8bs)-<>4,azirino(2',3':3,4)pyrrolo(1,2-a)indole-4,7-dione, 6-amino-1,1a,2,8,8a,8b-hexahydro-8-(hydroxymethyl)-8a-methoxy-5-methyl-, carbamate (ester)<>4,mitosol<>4,azirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione, 6-amino-1,1a,2,8,8a,8b-hexahydro-8-[(hydroxyiminomethoxy)methyl]-8a-methoxy-5-methyl-, (1as,8s,8ar,8bs)-<>4,6-amino-1,1a,2,8,8a,8b-hexahydro-8-(hydroxymethyl)-8a-methoxy-5-methylazirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione, carbamate (ester)<>4,mitonco<>4,mitoplus<>4,mitomycin[wiki][usp][usan]<>4,toxic solid, organic, n.o.s. (mitomycin c)<>4,(1ar)-6-amino-8-(((aminocarbonyl)oxy)methyl)-1,1a,2,8,8a,8b-hexahydro-8a-methoxy-5-methylazirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione<>4,mitomycin c (jp14)<>4,mitomycin [usan:ban:inn][inn][usan]<>4,muamycin (tn)<>4,7481-68-7[rn]<>4,nsc-26980<>4,-methoxymitosane<>4,mito-medac<>4,mmc<>4,[1as-(1aa,8b,8aa,8ba)]-6-amino-8-[[(aminocarbonyl)oxy]methyl]-1,1a,2,8,8a,8b-hexahydro-8a-methoxy-5-methylazirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione<>4,[(1as,8s,8ar,8bs)-6-amino-8a-methoxy-5-methyl-4,7-dioxo-1,1a,2,4,7,8,8a,8b-octahydroazirino[2',3':3,4]pyrrolo[1,2-a]indol-8-yl]methyl carbamate<>4,deoxyribonucleic acid<>4,mitostat<>4,6-amino-1,1a,2,8,8a-hexahydro-8-(hydroxymethyl)-8a-methoxy-5-methylazirino-(2',3':3,4)pyrrolo(1,2-a)indole-4,7-dionecarbamate<>4,mitoextra<>4,7-amino-9&alpha<>4,azirino(2',3':3,4)pyrrolo(1,2-a)indole-4,7-dione, 6-amino-8-(((aminocarbonyl)oxy)methyl)-1,1a,2,8,8a,8b-hexahydro-8a-methoxy-5-methyl-,(1as,8s,8ar,8bs)-<>4,mytomycin.<>4,1404-00-8[rn]<>4,3570056[beilstein]<>4,oncotaxina<>4,50-07-7[rn]<>4,6-amino-1,1a,2,8,8a,8b-hexahydro-8-(hydroxymethyl)-8a-methoxy-5-methylazirino(2',3':3,4)pyrrolo(1,2-a)indole-4,7-dione carbamate (ester)<>4,144085-53-0[rn]<>4,mitomycyna c[polish]<>4,337376-15-5<>4,200-008-6[einecs]<>4,[(1as,8s,8ar,8bs)-6-amino-8a-methoxy-5-methyl-4,7-dioxo-1,1a,2,4,7,8,8a,8b-octahydroazireno[2',3':3,4]pyrrolo[1,2-a]indol-8-yl]methylcarbamat<>4,oncomicina c<>4
SW02275	Indian Approved Name=berberine hcl	COc1ccc2cc-3[n+](cc2c1OC)CCc4c3cc5c(c4)OCO5	629413		546607			berberine hcl<>2,1,3-benzodioxolo[5,6-a]benzo[g]quinolizinium,5,6-dihydro-9,10-dimethoxy-, hydrochloride (1:1)<>1,berberine hydrochloride<>1,st055759<>1,smr000156315<>1,ac1lcgda<>1,211-195-9[einecs]<>1,surecn220544<>1,mls000574966<>1,633-65-8[rn]<>1
SW02276	Indian Approved Name=tenoxicam	CN1/C(=C(/Nc2ccccn2)\[O-])/C(=O)c3c(ccs3)S1(=O)=O	5312154		4471584			tilcotil<>1,cas-59804-37-4<>1,4-hydroxy-2-methyl-n-2-pyridinyl-2h-thieno[2,3-e]-1,2-thiazine-3-carboxamide 1,1-dioxide<>1,4-hydroxy-2-methyl-n-2-pyridinyl-2h-thieno(2,3-e)-1,2-thiazine-3-carboxamide 1,1-dioxide<>1,tenoxicam<>1,4-hydroxy-2-methyl-n-2-pyridyl-2h-thieno(2,3-e)-1,2-thiazine-3-carboxamide 1,1-dioxide<>1,tenoxicam [usan:ban:inn:jan][inn][jan][usan]<>1,tenoxicamum[latin]<>1,(3z)-3-[hydroxy(pyridin-2-ylamino)methylidene]-2-methyl-2h,3h,4h-1l6,5,2-thieno[2,3-e][1,2]thiazine-1,1,4-trione<>1,ro 12-0068<>1,59804-37-4[rn]<>1,2h-thieno(2,3-e)-1,2-thiazine-3-carboxamide,4-hydroxy-2-methyl-n-2-pyridinyl-, 1,1-dioxide<>1,apo-tenoxicam<>1,337376-15-5<>1,4h-thieno[2,3-e]-1,2-thiazin-4-one,2,3-dihydro-3-[hydroxy(2-pyridinylamino)methylene]-2-methyl-, 1,1-dioxide, (3z)-<>1,novo-tenoxicam<>1,ro 12-0068/000<>1,(3z)-3-[hydroxy(pyridin-2-ylamino)methylidene]-2-methyl-2,3-dihydro-4h-thieno[2,3-e][1,2]thiazin-4-one 1,1-dioxide<>1
SW02277	NPC Approved Name=firocoxib	CC1(C(=C(C(=O)O1)OCC2CC2)c3ccc(cc3)S(=O)(=O)C)C	208910	D03712	181008			equioxx (tn) <>2,previcox<>2,firocoxib<>2,equioxx<>2,3-(cyclopropylmethoxy)-5,5-dimethyl-4-(4-(methylsulfonyl)phenyl)furan-2(5h)-one<>1,equixx<>1,firocoxib [usan:inn][inn][usan]<>1,firocoxib [usan:inn]<>1,2(5h)-furanone, 3-(cyclopropylmethoxy)-5,5-dimethyl-4-(4-(methylsulfonyl)phenyl)-<>1,2(5h)-furanone, 3-(cyclopropylmethoxy)-5,5-dimethyl-4-[4-(methylsulfonyl)phenyl]-<>1,ml-1<>1,3-(cyclopropylmethoxy)-5,5-dimethyl-4-[4-(methylsulfonyl)phenyl]furan-2(5h)-one<>1,3-(cyclopropylmethoxy)-5<>1,ml-1,785,713<>1,3-cyclopropylmethoxy-4-(4-methanesulfonyl-phenyl)-5,5-dimethyl-5h-furan-2-one<>1,189954-96-9[rn]<>1,firocoxib (usan/inn)<>1,189954-96-9<>1,librens<>1,firocoxib[usan]<>1
SW02278	FDA Approved Drug=FLUOXYMESTERONE	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@]4(C)O)C)O)F	6446	D00327	6205	DB01185	CHEBI:5120	halotestin<>4,fluoxymesterone<>3,androfluorene<>3,fluoximesterone<>3,fluotestin<>3,oralsterone<>3,androfluorone<>3,fluosterone<>3,fluoxymestrone<>3,androsterolo<>3,flutestos<>2,oratestin<>2,ultandren<>2,fluoximesteronum<>2,ora testryl<>2,ora-testryl<>2,fxm<>2,ultandrene<>2,anadroid-f<>2,fluossimesterone [dcit]<>2,android-f<>2,neo-ormonal<>2,flusteron<>2,testoral<>2,76-43-7[rn]<>1,halodrin<>1,<>1,200-961-8[einecs]<>1,2008796[beilstein]<>1,4-08-00-02057 (beilstein handbook reference)[beilstein]<>1,fluoxymesterone [ban:inn:jan][inn][jan]<>1,(8s,9r,10s,11s,13s,14s,17s)-9-fluoro-11,17-dihydroxy-10,13,17-trimethyl-1,2,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-3h-cyclopenta[a]phenanthren-3-one<>1,androxy<>1,fluoximesterona[spanish][inn]<>1,9005-49-6<>1,fluoxymesteronum [inn-latin]<>1,component of halodrin<>1,11b,17b-dihydroxy-9a-fluoro-17a-methyl-4-androsten-3-one<>1,fluoximesterona [inn-spanish]<>1,9a-fluoro-11b-hydroxy-17a-methyltestosterone<>1,gr<>1,fluoxymesterone[wiki]<>1,(8s,9r,10s,11s,13s,14s,17s)-9-fluor-11,17-dihydroxy-10,13,17-trimethyl-1,2,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-3h-cyclopenta[a]phenanthren-3-on<>1,halotestin (tn)<>1,fluoxymesteronum[latin]<>1
SW02279	Traditional Herbal Isolate=ankorine isotubulosine	CC[C@H]1C[NH+]2CCc3c(cc(c(c3O)OC)OC)[C@@H]2C[C@@H]1CCO	442166		390682			ankorine<>2,c09337<>1,13849-54-2<>1,(2r<>1,ac1l9cdb<>1,13849-54-2[rn]<>1
SW02280	Traditional Herbal Isolate=lobelanine	C[NH+]1[C@H](CCC[C@H]1CC(=O)c2ccccc2)CC(=O)c3ccccc3	442647		391009			2-[(2r<>2,lobelanine<>2,chebi:301572<>1,579-21-5[rn]<>1,cis-2,2-(1-methyl-2,6-piperidinediyl)bis[1-phenylethanone]<>1,ac1l9d5e<>1,c10157<>1,ethanone,2,2'-[(2r,6s)-1-methyl-2,6-piperidinediyl]bis[1-phenyl-<>1,579-21-5<>1,2,2'-[(2r,6s)-1-methylpiperidine-2,6-diyl]bis(1-phenylethanone)<>1,ethanone<>1,chembl331161<>1,2-[(2r,6s)-1-methyl-6-(2-oxo-2-phenyl-ethyl)-piperidin-2-yl]-1-phenyl-ethanone<>1,a831673<>1
SW02281	FDA Approved Drug=NARATRIPTAN;NARATRIPTAN HYDROCHLORIDE	CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C3CC[NH+](CC3)C	4440,60875	D08255,D00674	4287,54857	DB00952	CHEBI:7478,CHEBI:7479	naratriptan<>6,naramig<>5,amerge<>4,naratriptan hydrochloride<>3,<>2,gr 85548a<>2,5-ht-1a<>2,5- ht1a<>2,g-21<>2,gr-85548a<>2,naratriptan hcl<>2,amerge (tn)<>2,n-methyl-3-(1-methyl-4-piperidyl)indole-5-ethanesulfonamide monohydrochloride<>2,amerge[wiki]<>2,121679-13-8[rn]<>2,n-methyl-2-[3-(1-methylpiperidin-4-yl)-1h-indol-5-yl]ethanesulfonamide hydrochloride<>2,n-methyl-2-[3-(1-methylpiperidin-4-yl)-1h-indol-5-yl]ethanesulfonamide<>2,naratriptan[wiki]<>2,serotonin receptor 1a<>2,naratriptanum<>2,121679-13-8<>2,naratriptan (inn)<>1,naratriptan hydrochloride (jan/usan)[jan][usan]<>1,7786629[beilstein]<>1,n-methyl-2-[3-(1-methyl-4-piperidyl)-1h-indol-5-yl]-ethanesulfonamide<>1,1h-indole-5-ethanesulfonamide, n-methyl-3-(1-methyl-4-piperidinyl)-, monohydrochloride<>1,143388-64-1<>1,naratriptan(amerge)<>1,hydrogenchloriden-methyl-2-[3-(1-methylpiperidin-4-yl)-1h-indol-5-yl]ethanesulfonamide (1:1:1)<>1,143388-64-1[rn]<>1,n-methyl-2-(3-(1-methylpiperiden-4-yl)indole-5-yl)ethanesulfonamide<>1,colatan<>1,1h-indole-5-ethanesulfonamide, n-methyl-3-(1-methyl-4-piperidinyl)-, hydrochloride (1:1)<>1,337376-15-5<>1,n-methyl-2-[3-(1-methyl-4-piperidinyl)-1h-indol-5-yl]ethanesulfonamide[acd/iupac name]<>1,chebi:7479<>1,chebi:7478<>1,1h-indole-5-ethanesulfonamide, n-methyl-3-(1-methyl-4-piperidinyl)-, chloride, hydrogen salt (1:1)<>1,n-methyl-2-[3-(1-methylpiperidin-4-yl)-1h-indol-5-yl]ethanesulfonamide hydrochloride (1:1)<>1,1h-indole-5-ethanesulfonamide, n-methyl-3-(1-methyl-4-piperidinyl)-<>1,naratriptan monohydrochloride<>1,n-methyl-2-[3-(1-methyl-4-piperidinyl)-1h-indol-5-yl]ethanesulfonamide hydrochloride<>1,amerge;naramig<>1,n-methyl-3-(1-methyl-4-piperidinyl)-1h-indole-5-ethanesulfonamide monohydrochloride<>1,n-methyl-3-(1-methyl-4-piperidinyl)-1h-indole-5-ethanesulfonamide<>1,naramig (tn)<>1,n-methyl-2-[3-(1-methylpiperidin-4-yl)-1h-indol-5-yl]ethansulfonamidhydrochlorid<>1,pubchem16865<>1,cid4440<>1,7656719[beilstein]<>1
SW02282	FDA Approved Drug=ALMOTRIPTAN MALATE	C[NH+](C)CCc1c[nH]c2c1cc(cc2)CS(=O)(=O)N3CCCC3	123607	D02824	110198	DB00918	CHEBI:53781	almotriptan<>3,almogran<>2,<>1,5- ht-1d-alpha<>1,las 31416 d<>1,chebi:53781<>1,serotonin receptor 1d<>1,almotriptan malate (usan)<>1,5-ht-1d<>1,almotriptan[wiki][usan]<>1,154323-57-6, 181183-52-8(malate)<>1,n,n-dimethyl-2-{5-[(pyrrolidin-1-ylsulfonyl)methyl]-1h-indol-3-yl}ethanamine<>1,1h-indole-3-ethanamine, n,n-dimethyl-5-[(1-pyrrolidinylsulfonyl)methyl]-<>1,ac1l3wys<>1,181183-52-8[rn]<>1,154323-57-6[rn]<>1,almotriptan [inn_en]<>1,butanedioic acid<>1,axert (tn)<>1,almotriptan malate<>1,n,n-dimethyl-2-(5-((pyrrolidin-1-ylsulfonyl)methyl)-1h-indol-3-yl)ethanamine<>1,1-(((3-(2-(dimethylamino)ethyl)-1h-indol-5-yl)methyl)sulfonyl)pyrrolidine<>1,1-[[[3-[2-(dimethylamino)ethyl]-1h-indol-5-yl]methyl]sulfonyl]pyrrolidine<>1,181183-52-8<>1,axert[wiki]<>1,154323-57-6, 181183-52-8<>1,337376-15-5<>1,pnu 180638e<>1,axert<>1
SW02283	NPC Approved Name=2-(2-diethylaminoethoxy)ethyl 2-ethyl-2-phenylbutyrate	CCC(CC)(c1ccccc1)C(=O)OCCOCC[NH+](CC)CC	4619		4458	DB04822		2-(2-diethylaminoethoxy)ethyl 2-ethyl-2-phenylbutyrate<>3,oxeladin<>3,<>2,oxeladina [inn-spanish]<>2,oxeladine [inn-french]<>2,oxeladinum [inn-latin]<>2,pectamol<>1,468-61-1[rn]<>1,oxeladine[french][inn]<>1,oxeladincitrate<>1,antusel;<>1,butyric acid, 2-ethyl-2-phenyl-, 2-(2-(diethylamino)ethoxy)ethyl ester<>1,oxeladina[spanish][inn]<>1,2-(2-diethylaminoethoxy)ethyl a,a-diethylphenylacetate<>1,silopentol<>1,oxeladin dihydrogen citrate<>1,2-ethyl-2-phenylbutyric acid 2-(2-diethylaminoethoxy)ethyl ester<>1,207-412-1[einecs]<>1,4-09-00-01906 (beilstein handbook reference)[beilstein]<>1,52432-72-1[rn]<>1,oxeladinum[latin]<>1,2-(2-diethylaminoethoxy)ethyl alpha<>1,a,a-diethylphenylacetic acid 2-(2-diethylaminoethoxy)ethyl ester<>1,einecs 207-412-1<>1,2-[2-(diethylamino)ethoxy]ethyl 2-ethyl-2-phenylbutanoate<>1,antusel;aplacol;dorex retard;ethochlon;hihustan;neobex;neusedan;oxeladincitrate;oxethamol;paxeladine<>1,2-ethyl-2-phenyl-butyric acid 2-(2-diethylamino-ethoxy)-ethyl ester<>1,brn 2003403<>1,468-61-1<>1,oxeladin citrate<>1,2-(2-(diethylamino)ethoxy)ethyl 2-ethyl-2-phenylbutanoate<>1,2-[2-(diethylamino)ethoxy]ethyl 2-ethyl-2-phenylbutanoate[acd/iupac name]<>1,a,a-diethylbenzeneacetic acid 2-[2-(diethylamino)ethoxy]ethyl ester<>1,oxeladin [ban:dcf:inn][inn]<>1
SW02284	US Illegal/Scheduled Drug (Schedule 1)=Norpipanone	CCC(=O)C(CC[NH+]1CCCCC1)(c2ccccc2)c3ccccc3	22391		21015			norpipanone<>2,209-220-3[einecs]<>1,3-hexanone<>1,norpipanonum<>1,4,4-diphenyl-6-(1-piperidyl)-3-hexanone<>1,561-48-8[rn]<>1,einecs 209-220-3<>1,6-(1-piperidyl)-4,4-diphenyl-3-hexanone<>1,ac1l2kb8<>1,norpipanona [inn-spanish]<>1,4,4-diphenyl-6-piperidino-3-hexanon<>1,norpipanonum [inn-latin]<>1,norpipanonum[latin]<>1,dea no. 9636<>1,1-piperidino-3,3-diphenyl-4-hexanone<>1,hoechst 10495<>1,norpipanona[spanish]<>1,4,4-diphenyl-6-(1-piperidinyl)-3-hexanone[acd/iupac name]<>1,norpipanona<>1,6-piperidino-4,4-diphenyl-3-hexanon<>1,hexalgon<>1,3-hexanone, 4,4-diphenyl-6-(1-piperidinyl)-<>1,norpipanone [ban:dcf:inn][inn]<>1,4,4-diphenyl-6-(piperidin-1-yl)hexan-3-one<>1,unii-127x8dj74m<>1
SW02285	China Approved Name=carboplatin,WHO Essential Medicine=carboplatin,Indian Approved Name=carboplatin,FDA Approved Drug=CARBOPLATIN	C1CC2(C1)C(=O)O[Pt]OC2=O		D01363	8514637	DB00958		paraplatin<>8,carboplatin<>8,platinum(2+) 1,1-cyclobutanedicarboxylate diammoniate<>4,cbdca<>4,paraplatin[wiki]<>4,carboplatin;1,1-cyclobutanedicarboxylatodiammineplatinum (ii)<>4,255-446-0[einecs]<>4,carboplatin[wiki][usan]<>4,carboplatinum[latin]<>4,paraplatin-aq<>4,1,1-cyclobutanedicarboxylatodiammineplatinum<>4,1,1-cyclobutanedicarboxylicacid, platinum(2+) salt, ammoniate(1:1:2)<>4,carboplatinum<>4,cis-diammine(1,1-cyclobutanedicarboxylato)platinum(ii)<>4,deoxyribonucleic acid<>4,cis-diammine(1,1-cyclobutanedicarboxylato) platinum<>4,41575-94-4[rn]<>4
SW02286	Traditional Herbal Isolate=coumaroylquinic acid	c1cc(ccc1/C=C/C(=O)O[C@H]2C[C@@](C[C@@H]([C@@H]2O)O)(C(=O)[O-])O)O	6453496		4955867			o-coumaroylquinic acid<>2,2-coumaroylquinic acid<>2,(1s<>1,ac1o57jf<>1,cyclohexanecarboxylic acid<>1,5746-55-4<>1,5746-55-4[rn]<>1,32719-14-5[rn]<>1
SW02287	NPC Approved Name=ufenamate	CCCCOC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F	5632	D01823	5430			combec<>3,butyl flufenamate<>2,flufenamic acid butyl ester<>2,ufenamate<>2,ufenamatum[latin]<>1,ufenamato[spanish]<>1,brn 2768727<>1,butyl 2-((3-(trifluoromethyl)phenyl)amino)benzoate<>1,butyl o-((m-(trifluoromethyl)phenyl)amino)benzoate<>1,ufenamato [spanish]<>1,fxffr cmr bvo4[wln]<>1,67330-25-0[rn]<>1,ufenamatum [latin]<>1,hf 264<>1,2-[[3-(trifluoromethyl)phenyl]amino]benzoic acid butyl ester<>1,benzoic acid, 2-[[3-(trifluoromethyl)phenyl]amino]-, butyl ester[acd/index name]<>1,butyl 2-{[3-(trifluoromethyl)phenyl]amino}benzoate[acd/iupac name]<>1,ufenamate[wiki][inn][jan]<>1
SW02288	Indian Approved Name=linezolid,FDA Approved Drug=LINEZOLID	CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(c(c2)F)N3CCOCC3	441401	D00947	390139	DB00601	CHEBI:63607	linezolid<>8,linezlid<>6,zyvox<>6,zyvoxid<>4,zyvoxam<>4,zyvoxa<>4,n-({(5s)-3-[3-fluor-4-(morpholin-4-yl)phenyl]-2-oxo-1,3-oxazolidin-5-yl}methyl)acetamid<>2,165800-03-3[rn]<>2,n-[[(5s)-3-[3-fluoro-4-(4-morpholinyl)phenyl]-2-oxo-5-oxazolidinyl]methyl]acetamide<>2,n-(((s)-3-(3-fluoro-4-morpholinophenyl)-2-oxo-5-oxazolidinyl)methyl)acetamide<>2,zyvox[wiki]<>2,n-{[(5s)-3-(3-fluoro-4-morpholin-4-ylphenyl)-2-oxo-1,3-oxazolidin-5-yl]methyl}acetamide<>2,acetamide, n-[[(5s)-3-[3-fluoro-4-(4-morpholinyl)phenyl]-2-oxo-5-oxazolidinyl]methyl]-<>2,n-({(5s)-3-[3-fluoro-4-(4-morpholinyl)phenyl]-2-oxo-1,3-oxazolidin-5-yl}methyl)acetamide<>2,(s)-n-((3-(3-fluoro-4-morpholinophenyl)-2-oxooxazolidin-5-yl)methyl)acetamide<>2,linezolid[wiki][inn][jan][usan]<>2,n-{[(5s)-3-[3-fluoro-4-(morpholin-4-yl)phenyl]-2-oxo-1,3-oxazolidin-5-yl]methyl}acetamide<>2,zyvoxid[wiki]<>2,u-100766<>2,nda 21-130 zyvox<>2,165800-03-3<>2,9005-80-5[rn]<>2,n-[3-(3-fluoro-4-morpholin-4-yl-phenyl)-2-oxo-oxazolidin-5-ylmethyl]-acetamide<>2,23s ribosomal ribonucleic acid<>2,linezolid [inn_en]<>2,n-{[(5s)-3-(3-fluor-4-morpholin-4-ylphenyl)-2-oxo-1,3-oxazolidin-5-yl]methyl}acetamid<>2,acetamide, n-(((5s)-3-(3-fluoro-4-(4-morpholinyl)phenyl)-2-oxo-5-oxazolidinyl)methyl)-<>2,tl8001272<>2,linezolide<>2,zyvox (tn)<>2,(s)-n-((3-fluoro-4-morpholinophenyl)-2-oxaoxazolidin-5-yl)methyl)acetamide<>2,n-[(s)-3-(3-fluoro-4-morpholin-4-yl-phenyl)-2-oxo-oxazolidin-5-ylmethyl]-acetamide<>2,n-({(5s)-3-[3-fluoro-4-(morpholin-4-yl)phenyl]-2-oxo-1,3-oxazolidin-5-yl}methyl)acetamide<>2,n-[[(5s)-3-[3-fluoro-4-(4-morpholinyl)phenyl]-2-oxo-5-oxazolidinyl]methyl]-acetamide<>2,pnu-100766<>2,zyvox, pnu-100766, u-100766, zyvoxid, zyvoxam<>2
SW02289	Indian Approved Name=olopatadine,FDA Approved Drug=OLOPATADINE HYDROCHLORIDE	C[NH+](C)CC/C=C\1/c2ccccc2COc3c1cc(cc3)CC(=O)[O-]	5281071		4444528	DB00768		patanol<>4,olopatadine<>4,140462-76-6[rn]<>2,olopatadine[wiki]<>2,protein s-100l<>2,bidd:gt0285<>2,{(11z)-11-[3-(dimethylamino)propylidene]-6,11-dihydrodibenzo[b,e]oxepin-2-yl}acetic acid<>2,hms2089k10<>2,(z)-2-(11-(3-(dimethylamino)propylidene)-6,11-dihydrodibenzo[b,e]oxepin-2-yl)acetic acid<>2,olopatadine [inn:ban]<>2,olopatadine hydrochloride<>2,can19<>2,pataday;patanol s;patanol;opatanol;patanase<>2,tl8000403<>2,(z)-11-[3-(dimethylamino)propyl-idene]-6,11-dihydrodibenz[b,e]oxepin-2-acetic acid<>2,ac1nqxzh<>2,11-((z)-3-(dimethylamino)propylidene)-6,11-dihydrodibenz(b,e)oxepin-2-acetic acid<>2,kw 4679<>2,2-{11-[3-(dimethylamino)propylidene]-6h-benzo[c]benzo[3,4-f]oxepan-2-yl}aceticacid<>2,{11-[3-dimethylamino-prop-(z)-ylidene]-6,11-dihydro-dibenzo[b,e]oxepin-2-yl}-acetic acid<>2,kw-4943a<>2,113806-05-6[rn]<>2,unii-d27v6190pm<>2,s100 calcium-binding protein a2<>2,opatanol<>2,olopatadine  hydrochloride<>2,dibenz[b,e]oxepin-2-aceticacid, 11-[3-(dimethylamino)propylidene]-6,11-dihydro-,(11z)-<>2,pataday;<>2
SW02290	FDA Approved Drug=ACEBUTOLOL HYDROCHLORIDE	CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(C[NH2+]C(C)C)O	441307	D00597	33788	DB01193	CHEBI:2380	acebutolol hydrochloride<>3,sectral<>3,acebutolol hcl<>3,neptal<>2,acebutolol.hcl<>2,prent<>2,n-{3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl}butanamide hydrochloride<>2,prestwick_512<>1,<>1,34381-68-5, 37517-30-9<>1,n-(3-acetyl-4-[2-hydroxy-3-(isopropylamino)propoxy]phenyl)butanamide<>1,butanamide, n-[3-acetyl-4-[2-hydroxy-3-[(1-methylethyl)amino]propoxy]phenyl]-, monohydrochloride<>1,n-{3-acetyl-4-[2-hydroxy-3-(isopropylamino)propoxy]phenyl}butanamide hydrochloride<>1,6080568[beilstein]<>1,34381-68-5[rn]<>1,(1)-n-(3-acetyl-4-(2-hydroxy-3-((isopropyl)amino)propoxy)phenyl)butyramide monohydrochloride<>1,monitan<>1,il-17803a<>1,st51014891<>1,acebutolol<>1,acebutolol hydrochloride[jan]<>1,n-(3-acetyl-4-{2-hydroxy-3-[(1-methylethyl)amino]propoxy}phenyl)butanamidhydrochlorid<>1,butyranilide, 3'-acetyl-4'-(2-hydroxy-3-(isopropylamino)propoxy)-, monohydrochlo<>1,chebi:2380<>1,n-{3-acetyl-4-[2-hydroxy-3-(isopropylamino)propoxy]phenyl}butanamide hydrochloride (1:1)<>1,sectral (tn)<>1,n-(3-acetyl-4-{2-hydroxy-3-[(methylethyl)amino]propoxy}phenyl)butanamide, chloride<>1,251-980-3[einecs]<>1,n-{3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl}butanamide hydrochloride (1:1)<>1,acebutolol[wiki][usan]<>1,beta-2 adrenoceptor<>1,n-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide hydrochloride<>1,34381-68-5, 37517-30-9 [acebutolol]<>1,acetobutolol<>1,beta-2 adrenoreceptor<>1,3'-acetyl-4'-(2-hydroxy-3-(isopropylamino)propoxy)butyranilidehydrochloride<>1,34381-68-5<>1,tl8002563<>1,37517-30-9[rn]<>1,acebutololo<>1,m&b-17803a;<>1,dl-acebutolol<>1,wesfalin<>1,butanamide, n-[3-acetyl-4-[2-hydroxy-3-[(1-methylethyl)amino]propoxy]phenyl]-, hydrochloride (1:1)<>1,smr000058800<>1,m&b; 17,803a<>1,n-(3-acetyl-4-{2-hydroxy-3-[(1-methylethyl)amino]propoxy}phenyl)butanamide hydrochloride<>1,dl-1-(2-acetyl-4-butyramidophenoxy)-2-hydroxy-3-isopropylaminopropane hydrochloride<>1,diasectral<>1,acebutololhydrochloride<>1,n-{3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl}butanamidhydrochlorid<>1,neptal; prent; sectral<>1
SW02291	Traditional Herbal Isolate=vindolinine	CC1C23CC(C14C5(C2[NH+](CC5)CC=C3)c6ccccc6N4)C(=O)OC	120879		107902			vindolinine<>2,isouindolinine<>2,methyl 6,7-didehydro-2,20-cycloaspidospermidine-3-carboxylate[acd/iupac name]<>1,molport-002-321-742<>1,ac1l3rny<>1,2,20-cycloaspidospermidine-3-carboxylic acid,6,7-didehydro-, methyl ester<>1,5980-02-9[rn]<>1,ar-1j5602<>1,methyl 6<>1,oprea1_632407<>1,mls001195072<>1,ac1q5zrb<>1,stk369168<>1
