orig_index,Isomeric Smiles,Molecular Weight,AlogP,H_donors,H_acceptors,#RO5 Violations,MW,LogP,RO5_violations
109,CC(C)[C@@H](C(=O)[O-])[NH3+],117.148,-1.9971999999999985,1.0,2.0,0.0,,,
110,CC(C)CCON=O,117.148,1.7305,0.0,3.0,0.0,,,
111,C[N+](C)(C)CC(=O)[O-],117.14799999999998,-1.5574999999999983,0.0,2.0,0.0,,,
112,c1ccc2c(c1)cc[nH]2,117.15099999999997,2.1678999999999995,1.0,0.0,0.0,,,
113,[O-][Mn](=O)(=O)=O,118.93399999999998,-1.5479,0.0,4.0,0.0,,,
114,C[C@H]([C@@H](C(=O)[O-])[NH3+])O,119.11999999999999,-3.272399999999999,2.0,3.0,0.0,,,
115,C(C(C[NH3+])O)C(=O)[O-],119.11999999999998,-3.270799999999999,2.0,3.0,0.0,,,
116,C(Cl)(Cl)Cl,119.37800000000001,1.9864,0.0,0.0,0.0,,,
117,C=Cc1ccc(cc1)O,120.15099999999997,2.0352,1.0,1.0,0.0,,,
118,CNS#CNCO,120.17699999999999,-0.6899000000000004,3.0,3.0,0.0,,,
119,CSSCC=C,120.242,2.1836,0.0,2.0,0.0,,,
120,c1ccc(cc1)C(=O)[O-],121.11499999999997,0.05009999999999992,0.0,2.0,0.0,,,
121,C([C@@H](C(=O)[O-])[NH3+])S,121.16099999999999,-2.7233999999999994,2.0,3.0,0.0,,,
122,c1ccnc(c1)C(=O)[O-],122.10299999999997,-0.5549000000000002,0.0,3.0,0.0,,,
123,c1cc(cnc1)C(=O)[O-],122.10299999999997,-0.5549000000000002,0.0,3.0,0.0,,,
124,c1cc(cnc1)C(=O)N,122.12699999999998,0.1805,1.0,2.0,0.0,,,
125,C(C(CO)(CO)[NH3+])O,122.14399999999999,-3.055999999999999,4.0,3.0,0.0,,,
126,CCOc1ccccc1,122.16699999999996,2.0853,0.0,1.0,0.0,,,
127,c1ccc(cc1)CCO,122.16699999999997,1.2213999999999998,1.0,1.0,0.0,,,
128,c1ccc(cc1)CC[NH3+],122.19099999999999,0.47100000000000003,1.0,0.0,0.0,,,
129,CC1=C(C2CCC1C2)C,122.211,2.752700000000001,0.0,0.0,0.0,,,
130,C(=O)([O-])P(=O)([O-])[O-],122.97999999999999,-2.7566,0.0,5.0,0.0,,,
131,C1=CC(=O)C(=CC1=O)[O-],123.08699999999997,-1.0614000000000001,0.0,3.0,0.0,,,
132,c1cnc(cn1)C(=O)N,123.115,-0.42450000000000004,1.0,3.0,0.0,,,
133,c1ccc(c(c1)CO)O,124.13899999999997,0.8844999999999996,2.0,2.0,0.0,,,
134,COc1ccc(cc1)O,124.13899999999997,1.4008,1.0,2.0,0.0,,,
135,COc1ccccc1O,124.13899999999997,1.4008,1.0,2.0,0.0,,,
136,C(C(CS)S)O,124.22999999999996,0.20689999999999997,3.0,3.0,0.0,,,
137,Cc1c(c(=O)cco1)[O-],125.10299999999997,0.02181999999999984,0.0,3.0,0.0,,,
138,C(CS(=O)(=O)[O-])[NH3+],125.14899999999999,-2.226499999999999,1.0,3.0,0.0,,,
139,Cl[Mn]Cl,125.84400000000001,1.3765,0.0,0.0,0.0,,,
140,c1c(cc(cc1O)O)O,126.11099999999998,0.8034000000000001,3.0,3.0,0.0,,,
141,c1cc(c(c(c1)O)O)O,126.11099999999995,0.8034000000000001,3.0,3.0,0.0,,,
142,Cc1c[nH]c(=O)[nH]c1=O,126.115,-0.6283800000000002,2.0,2.0,0.0,,,
143,c1ccn(c(=S)c1)[O-],126.15999999999998,1.56349,0.0,3.0,0.0,,,
144,CC(=CCCC(=O)C)C,126.199,2.3218000000000005,0.0,1.0,0.0,,,
145,[123I-],122.905589,-2.996,0.0,0.0,0.0,,,
146,C1C[NH2+]CC(=C1)C(=O)[O-],127.14299999999997,-2.3701999999999988,1.0,2.0,0.0,,,
147,C1CC(=O)N[C@@H]1C(=O)[O-],128.10699999999997,-1.9850999999999994,1.0,3.0,0.0,,,
148,c1ccc-2cccc2cc1,128.17399999999995,2.7914000000000003,0.0,0.0,0.0,,,
149,CCCCCCCC=O,128.215,2.5458000000000007,0.0,1.0,0.0,,,
150,c1cc(ccc1O)Cl,128.558,2.0456000000000008,1.0,1.0,0.0,,,
151,c1c(c([nH]c(=O)n1)N)F,129.094,-0.5088000000000001,2.0,3.0,0.0,,,
152,C1CC(=O)N(C1=O)CO,129.115,-0.9148000000000001,1.0,3.0,0.0,,,
153,C1CC[NH2+]C(C1)C(=O)[O-],129.159,-2.1477999999999984,1.0,2.0,0.0,,,
154,C=CC(CCC(=O)[O-])[NH3+],129.159,-1.6869999999999985,1.0,2.0,0.0,,,
155,c1c(c(=O)[nH]c(=O)[nH]1)F,130.07799999999997,-0.7977000000000001,2.0,2.0,0.0,,,
156,C1C[NH2+]C[C@]1(C(=O)[O-])N,130.14699999999996,-3.599099999999999,2.0,3.0,0.0,,,
157,CCCCCCCCO,130.23100000000002,2.3392000000000013,1.0,1.0,0.0,,,
158,C(CC(=O)[O-])C(=O)C[NH3+],131.131,-2.6724999999999985,1.0,3.0,0.0,,,
159,CC[C@H](C)[C@@H](C(=O)[O-])[NH3+],131.17499999999998,-1.6070999999999982,1.0,2.0,0.0,,,
160,C(CCC(=O)[O-])CC[NH3+],131.17499999999998,-1.4613999999999976,1.0,2.0,0.0,,,
161,CC(C)C[C@@H](C(=O)[O-])[NH3+],131.17499999999998,-1.6070999999999982,1.0,2.0,0.0,,,
162,CC(C)CC(C(=O)[O-])[NH3+],131.17499999999998,-1.6070999999999982,1.0,2.0,0.0,,,
163,CN(C)C(=[NH2+])NC(=[NH2+])N,131.183,-4.673499999999999,4.0,0.0,0.0,,,
164,C(C(C(=O)[O-])O)C(=O)[O-],132.07099999999997,-3.7628,1.0,5.0,0.0,,,
165,C([C@@H](C(=O)[O-])[NH3+])C(=O)[O-],132.095,-4.5131999999999985,1.0,4.0,0.0,,,
166,C([C@@H](C(=O)[O-])[NH3+])C(=O)N,132.11899999999997,-3.777799999999999,2.0,3.0,0.0,,,
167,CC1OC(OC(O1)C)C,132.159,1.0877999999999999,0.0,3.0,0.0,,,
168,c1ccc(cc1)/C=C/C=O,132.16199999999995,1.8987,0.0,1.0,0.0,,,
169,CCCCCO[N+](=O)[O-],133.147,1.3849,0.0,3.0,0.0,,,
170,c1ccc(cc1)C(C#N)O,133.14999999999998,1.2435800000000001,1.0,2.0,0.0,,,
171,C(C[C@@H](C(=O)[O-])[NH3+])C[NH3+],133.171,-3.631099999999999,2.0,2.0,0.0,,,
172,c1ccc(c(c1)C=O)C=O,134.13399999999996,1.3115999999999999,0.0,2.0,0.0,,,
173,c1ccc2c(c1)COC2=O,134.134,1.357,0.0,2.0,0.0,,,
174,C(CON)[C@@H](C(=O)[O-])[NH3+],134.13499999999996,-3.372799999999999,2.0,4.0,0.0,,,
175,Cn1ccc(=O)c(c1)C#N,134.13799999999998,0.25697999999999993,0.0,3.0,0.0,,,
176,c1ccc(cc1)CCC=O,134.17799999999997,1.8181,0.0,1.0,0.0,,,
177,C=CCc1ccc(cc1)O,134.17799999999997,2.1207,1.0,1.0,0.0,,,
178,CC(=O)Cc1ccccc1,134.17799999999997,1.8181,0.0,1.0,0.0,,,
179,c1ccc(cc1)C2C[C@H]2[NH3+],134.20199999999997,0.7844000000000002,1.0,0.0,0.0,,,
180,Cc1ccc(cc1)C(C)C,134.22199999999998,3.118420000000002,0.0,0.0,0.0,,,
181,Cl[Cu]Cl,134.452,1.3765,0.0,0.0,0.0,,,
182,c1[nH]c2c(n1)c(ncn2)N,135.13,-0.06490000000000007,2.0,4.0,0.0,,,
183,c1ccc(cc1)CC(=O)[O-],135.14199999999997,-0.02100000000000013,0.0,2.0,0.0,,,
184,Cc1ccc(cc1)N(C)C,135.21,2.06102,0.0,1.0,0.0,,,
185,C[C@H]1[C@H](O1)P(=O)([O-])[O-],136.043,-1.3551000000000002,0.0,4.0,0.0,,,
186,c1c2c([nH]n1)ncnc2O,136.114,0.058499999999999885,2.0,4.0,0.0,,,
187,c1ccc(c(c1)C(=O)[O-])N,136.12999999999997,-0.3677000000000001,1.0,3.0,0.0,,,
188,c1cc(ccc1C(=O)[O-])N,136.12999999999997,-0.36769999999999986,1.0,3.0,0.0,,,
189,CC(=O)c1ccc(cc1)O,136.14999999999998,1.5948,1.0,2.0,0.0,,,
190,COC(=O)[C@H](CS)[NH3+],136.196,-1.3003000000000002,2.0,3.0,0.0,,,
191,c1ccc(cc1)CCNN,136.19799999999998,0.6924000000000001,2.0,2.0,0.0,,,
192,Cc1c(nc(c(n1)C)C)C,136.198,1.71028,0.0,2.0,0.0,,,
193,C[C@@H](Cc1ccccc1)[NH3+],136.21799999999996,0.8595000000000002,1.0,0.0,0.0,,,
194,CC(Cc1ccccc1)[NH3+],136.21799999999996,0.8595000000000002,1.0,0.0,0.0,,,
195,C[C@H](Cc1ccccc1)[NH3+],136.21799999999996,0.8595000000000002,1.0,0.0,0.0,,,
196,CC1(C2CCC1C(=C)C2)C,136.238,2.9987000000000013,0.0,0.0,0.0,,,
197,CC(C)C1CCC(=C)C=C1,136.238,3.1648000000000023,0.0,0.0,0.0,,,
198,CC1(C2CCC(C2)C1=C)C,136.238,2.9987000000000013,0.0,0.0,0.0,,,
199,CC1=CC[C@@H](CC1)C(=C)C,136.238,3.308900000000002,0.0,0.0,0.0,,,
200,CC1=CC=C(CC1)C(C)C,136.238,3.308900000000002,0.0,0.0,0.0,,,
201,CC1=CCC2CC1C2(C)C,136.238,2.9987000000000013,0.0,0.0,0.0,,,
202,CC1=CCC(=CC1)C(C)C,136.238,3.308900000000002,0.0,0.0,0.0,,,
203,CC1=CCC2C(C1)C2(C)C,136.238,2.9987000000000013,0.0,0.0,0.0,,,
204,CC(=CC/C=C(\C)/C=C)C,136.238,3.4750000000000023,0.0,0.0,0.0,,,
205,CC1=CCC(C=C1)C(C)C,136.23799999999997,3.1648000000000023,0.0,0.0,0.0,,,
206,Cl[Zn]Cl,136.296,1.3765,0.0,0.0,0.0,,,
207,c1ccc(c(c1)C(=O)[O-])O,137.11399999999998,-0.24430000000000024,1.0,3.0,0.0,,,
208,c1cc(ccc1C(=O)[O-])O,137.11399999999998,-0.24430000000000046,1.0,3.0,0.0,,,
209,COC(=O)c1cccnc1,137.138,0.8681999999999999,0.0,3.0,0.0,,,
210,c1ccc(c(c1)C(=O)N)O,137.138,0.4910999999999999,2.0,2.0,0.0,,,
211,c1cnccc1C(=O)NN,137.14199999999997,-0.3149000000000001,2.0,3.0,0.0,,,
212,C[n+]1ccccc1/C=N/O,137.162,0.3191999999999999,1.0,2.0,0.0,,,
213,C[NH2+]CCc1ccccn1,137.20599999999996,-0.18270000000000008,1.0,1.0,0.0,,,
214,Cc1c(c(=O)ccn1C)[O-],138.146,-0.23268000000000022,0.0,3.0,0.0,,,
215,c1cc(ccc1CCO)O,138.166,0.9269999999999994,2.0,2.0,0.0,,,
216,c1ccc(cc1)OCCO,138.166,1.0576999999999996,1.0,2.0,0.0,,,
217,C1CCc2nnnn2CC1,138.174,0.39949999999999997,0.0,4.0,0.0,,,
218,c1cc(ccc1CC[NH3+])O,138.19,0.17659999999999942,2.0,1.0,0.0,,,
219,CC(C)C1CCC(=O)C=C1,138.21,2.1776999999999997,0.0,1.0,0.0,,,
220,CC1=CCC(CC1)C(C)C,138.254,3.3888000000000025,0.0,0.0,0.0,,,
221,C1CC2C(O2)CC1C3CO3,140.182,0.9527,0.0,2.0,0.0,,,
222,c1c(occ(c1=O)[O-])CO,141.102,-0.7943000000000002,1.0,4.0,0.0,,,
223,Cc1cc(no1)C(=O)OC,141.126,0.76962,0.0,4.0,0.0,,,
224,CCC1(CC(=O)NC1=O)C,141.17,0.4492,1.0,2.0,0.0,,,
225,C(CS(=O)(=O)[O-])S,141.19299999999998,-0.5385999999999997,1.0,4.0,0.0,,,
226,C1[NH+]2CN3CN1CN(C2)C3,141.198,-2.436899999999997,1.0,3.0,0.0,,,
227,C1CC(=O)N(C1)CC(=O)N,142.158,-0.9058999999999995,1.0,2.0,0.0,,,
228,COC(=O)C1=CCC[NH2+]C1,142.178,-0.9470999999999994,1.0,2.0,0.0,,,
229,CCCC1CCCC(=O)O1,142.198,1.8822,0.0,2.0,0.0,,,
230,CC(=O)CC1CCCC[NH2+]1,142.22199999999998,0.08140000000000003,1.0,1.0,0.0,,,
231,CCCCCCCCC=O,142.242,2.935900000000001,0.0,1.0,0.0,,,
232,CC(CC1CCCC1)[NH2+]C,142.26600000000002,1.1484,1.0,0.0,0.0,,,
233,CC(CCC=C(C)C)[NH2+]C,142.266,1.3144999999999998,1.0,0.0,0.0,,,
234,Cc1cc(ccc1Cl)O,142.585,2.3540200000000016,1.0,1.0,0.0,,,
235,[O-][Se](=O)(=O)[O-],142.956,-2.9964000000000004,0.0,4.0,0.0,,,
236,S=[Se]=S,143.094,0.9156,0.0,2.0,0.0,,,
237,CC1(C(=O)N(C(=O)O1)C)C,143.14199999999997,0.37360000000000004,0.0,3.0,0.0,,,
238,C[N+]1(CCCC1C(=O)[O-])C,143.18599999999998,-1.0248999999999988,0.0,2.0,0.0,,,
239,CCCCCCCC(=O)[O-],143.206,1.0968,0.0,2.0,0.0,,,
240,CCCC(CCC)C(=O)[O-],143.206,0.9526999999999999,0.0,2.0,0.0,,,
241,C(CC(=O)[O-])C(=O)C(=O)[O-],144.082,-3.1644999999999994,0.0,5.0,0.0,,,
242,C(CCC(=O)[O-])CC(=O)[O-],144.12599999999998,-1.9533999999999987,0.0,4.0,0.0,,,
243,c1c(c(c[nH]c1=O)Cl)[O-],144.53699999999998,0.10189999999999982,1.0,2.0,0.0,,,
244,c1cc(c(cc1O)Cl)O,144.557,1.7512000000000008,2.0,2.0,0.0,,,
245,CCC(/C=C/Cl)(C#C)O,144.601,1.5131999999999999,1.0,1.0,0.0,,,
246,c1cc2cccnc2c(c1)O,145.16099999999997,1.9404,1.0,2.0,0.0,,,
247,c1ccc2c(c1)ccc(=O)[nH]2,145.16099999999997,1.5280999999999996,1.0,1.0,0.0,,,
248,C(CC(=O)[O-])[C@@H](C(=O)[O-])[NH3+],146.12199999999999,-4.123099999999999,1.0,4.0,0.0,,,
